estimator,nees_dof,nees_mean_median,nees_mean_q1,nees_mean_q3,nis_dof,nis_mean_median,nis_mean_q1,nis_mean_q3,ate_position_rmse_median,ate_position_rmse_q1,ate_position_rmse_q3,ate_velocity_rmse_median,ate_velocity_rmse_q1,ate_velocity_rmse_q3,ate_attitude_rmse_rad_median,ate_attitude_rmse_rad_q1,ate_attitude_rmse_rad_q3,rte_position_rmse_median,rte_position_rmse_q1,rte_position_rmse_q3,divergence_rate,runtime_mean_s,runtime_p95_s,n_runs
ekf,15,97.95488682420392,64.08134002987853,156.21635856713525,3,2.910807402995243,2.7270334383986947,3.070260209278937,0.41658812014531793,0.3988553805567132,0.4491403134375702,0.305150121805223,0.28692509524735954,0.3372841037265094,0.15200908586181697,0.13163560455121773,0.19004049437337056,0.4624136796958983,0.4429966075450705,0.4951433076578851,0.0,0.0005449833691142638,0.0006060980511392699,100
fej_ekf,15,89.94021550044937,66.52706664414062,146.14983909218913,3,2.9055611978635465,2.7347348542964767,3.0624089221528314,0.41941434684986756,0.39609221035595366,0.44943746938248197,0.3075295400680789,0.28485754401583985,0.3353951017195897,0.1472645774347975,0.1310253128083219,0.17347319517102186,0.46425341506463635,0.44324922299805236,0.4958846150725357,0.0,0.0005583595697148254,0.0006235010503587545,100
eskf,15,11.364114495060637,9.084344978142404,13.418552502795423,3,2.910702362024457,2.725825999506877,3.0728445880849975,0.41769488803681754,0.39943283432719956,0.4496261994121261,0.28872977796827787,0.26912518230895144,0.3146674563444627,0.15258517278301398,0.13226529396485814,0.18825003575942018,0.4631455606840179,0.4438570018892983,0.4960981230172938,0.0,6.640222910302162e-05,7.25070021871943e-05,100
inekf,15,24.604523024438315,19.264087681197132,32.158844857571296,3,2.8982740027293215,2.7292494608598545,3.068722376205725,0.41919479201130316,0.39860543410198457,0.4493028089734266,0.2889370617424584,0.2672144224191806,0.31437356056027393,0.14779043393158225,0.13000025888046418,0.1808084557839431,0.4626851661591126,0.4413078034678019,0.49298249951924933,0.0,0.00012968227843521162,0.0001297960006922949,100
