estimator,nees_dof,nees_mean_median,nees_mean_q1,nees_mean_q3,nis_dof,nis_mean_median,nis_mean_q1,nis_mean_q3,ate_position_rmse_median,ate_position_rmse_q1,ate_position_rmse_q3,ate_velocity_rmse_median,ate_velocity_rmse_q1,ate_velocity_rmse_q3,ate_attitude_rmse_rad_median,ate_attitude_rmse_rad_q1,ate_attitude_rmse_rad_q3,rte_position_rmse_median,rte_position_rmse_q1,rte_position_rmse_q3,divergence_rate,runtime_mean_s,runtime_p95_s,n_runs
ekf,15,212.9106178647728,157.1854170773608,317.2261214780589,3,2.8833337897289777,2.7227879366028875,3.0980538409907945,0.44995922878823635,0.42766801753318395,0.4784205097853985,0.44180305106242035,0.41070265693149305,0.4881260554898162,0.07668507351495855,0.06857617752707554,0.08965886386560344,0.5413467356028436,0.5023646772778004,0.5703249221010472,0.0,0.0005439000005866216,0.0006061690000933595,100
fej_ekf,15,302.3541327621683,199.11350571068442,447.720798295861,3,2.9154293181234276,2.7397261382062066,3.119936572531863,0.46859378865004986,0.43218181640122777,0.49101929326280935,0.45779697630157634,0.4224359437217288,0.5015949286961233,0.08271738409493978,0.07286547470411782,0.09374772859316365,0.5388295050276232,0.5046894089958297,0.5732747733379092,0.0,0.0005554149408199341,0.0006196149988682009,100
eskf,15,13.936708436624084,12.154769466196484,16.511444581185646,3,2.876133019912618,2.7116651659274513,3.052018461107011,0.4525318408407446,0.4219708705255419,0.4762345516156056,0.4197066840403654,0.3892295143413357,0.455411411612195,0.07430033757246651,0.06717309027587953,0.08620525695119025,0.5379279442012974,0.5029959882547919,0.5693627443910831,0.0,6.686149180095526e-05,7.291944966709696e-05,100
inekf,15,169.59217042506896,138.5256247140635,208.05978118583624,3,2.8711315020232178,2.71863146116383,3.053710609812864,0.4515889571918541,0.42185220632516923,0.4806406027443581,0.4227932437633743,0.38509447096502986,0.458730987741738,0.07376561692638069,0.06743854340643242,0.08344491209582691,0.535246892160594,0.5018404178434428,0.5656573110267761,0.0,0.00015951158152959332,0.00016516600080649299,100
